Year	GDP ($M)	Unemployment Rate (%)	Inflation Rate (%)	Economic growth (%)	Q on Q Economic Growth (%)	Income and Wealth Distribution (Gini coefficient)	Net Exports (PM)	Govt Expenditure (% of GDP)	Tax Revenue (% of GDP)	Interest Rate (%)	Money supply ($M)	Rate of crawl (%)
2017	16110	19.68	3.5	4.11	3.2	0.53	1600	34.7	23.9	5.5	6800	0.26
2017	16110	19.68	3.2	4.11	3.6	0.53	-278	34.7	23.9	5.5	6900	0.26
2017	16110	19.68	3.2	4.11	7.0	0.53	-913	34.7	23.9	5.0	7100	0.26
2017	16110	19.68	2.9	4.11	2.8	0.53	-772	34.7	23.9	5.0	7200	0.26
2018	17030	19.68	3.1	4.19	3.8	0.53	482	35.6	21.7	5.0	7400	-0.30
2018	17030	19.68	2.9	4.19	5.6	0.53	666	35.6	21.7	5.0	7300	-0.30
2018	17030	19.68	3.5	4.19	2.6	0.53	2610	35.6	21.7	5.0	7200	-0.30
2018	17030	19.68	3.3	4.19	4.7	0.53	672	35.6	21.7	5.0	7600	-0.30
2019	16730	20.09	2.8	3.03	4.6	0.53	723	36.9	21.1	5.0	7800	0.30
2019	16730	20.09	3.0	3.03	2.8	0.53	-1120	36.9	21.1	4.75	7600	0.30
2019	16730	20.09	2.2	3.03	3.7	0.53	-432	36.9	21.1	4.75	8000	0.30
2019	16730	20.09	2.2	3.03	1.2	0.53	-540	36.9	21.1	4.75	7900	0.30
2020	14960	21.02	0.9	-8.73	1.1	0.53	-366	36.5	22.3	4.25	8000	-2.87
2020	14960	21.02	1.8	-8.73	-26.9	0.53	-192	36.5	22.3	4.25	7300	-2.87
2020	14960	21.02	2.2	-8.73	-4.5	0.53	-402	36.5	22.3	3.75	7500	-2.87
2020	14960	21.02	2.4	-8.73	-4.5	0.53	-540	36.5	22.3	3.75	8000	-2.87
2021	18750	23.11	8.2	11.92	1.4	0.53	-369	31.4	22.2	3.75	8100	-2.87
2021	18750	23.11	8.4	11.92	37.8	0.53	-196	31.4	22.2	3.75	8300	-2.87
2021	18750	23.11	8.7	11.92	9.0	0.53	-403	31.4	22.2	3.75	8500	-2.87
2021	18750	23.11	10.0	11.92	6.0	0.53	-1470	31.4	22.2	3.75	8200	-2.87
2022	20320	23.62	12.7	5.49	6.5	0.53	1500	29.1	19.6	2.15	8200	-2.87
2022	20320	23.62	13.8	5.49	4.8	0.53	-3210	29.1	19.6	2.65	8000	-2.87
2022	20320	23.62	12.4	5.49	5.0	0.53	-161	29.1	19.6	2.65	7800	-2.87
2022	20320	23.62	9.9	5.49	5.7	0.53	1180	29.1	19.6	2.65	7900	-2.87
2023	19400	23.38	4.6	2.73	5.7	0.53	649	33.1	22.0	2.65	7900	-1.51
2023	19400	23.38	3.2	2.73	3.8	0.53	-3390	33.1	22.0	2.65	7500	-1.51
2023	19400	23.38	3.5	2.73	1.1	0.53	-1740	33.1	22.0	2.40	7400	-1.51
2023	19400	23.38	3.1	2.73	2.3	0.53	-333	33.1	22.0	2.40	8000	-1.51
